	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	58.5	89.5	97.3	99.3	99.8	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
	41.5	10.5	2.7	0.7	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

2	24.7	63.7	79.4	90.7	95.2	97.9	98.8	99.5	99.8	99.9	99.9	100.0	100.0	100.0	100.0
	75.3	36.3	20.6	9.3	4.8	2.1	1.2	0.5	0.2	0.1	0.1	0.0	0.0	0.0	0.0

3	8.4	34.3	48.1	64.4	76.4	83.8	89.3	93.2	95.4	97.2	98.2	98.8	99.2	99.5	99.7
	91.6	65.7	51.9	35.6	23.6	16.2	10.7	6.8	4.6	2.8	1.8	1.2	0.8	0.5	0.3

4	2.9	21.4	35.3	35.8	48.9	61.4	71.5	75.8	81.5	86.7	90.4	92.2	94.3	96.0	97.2
	97.1	78.6	64.7	64.2	51.1	38.6	28.5	24.2	18.5	13.3	9.6	7.8	5.7	4.0	2.8

5	1.0	11.1	23.4	23.2	23.4	34.9	47.0	53.6	59.8	65.4	72.5	77.6	81.5	84.9	87.9
	99.0	88.9	76.6	76.8	76.6	65.1	53.0	46.4	40.2	34.6	27.5	22.4	18.5	15.1	12.1

6	0.3	6.5	14.1	14.0	14.2	14.0	23.9	31.2	37.8	42.0	48.9	59.7	66.5	71.7	76.4
	99.7	93.5	85.9	86.0	85.8	86.0	76.1	68.8	62.2	58.0	51.1	40.3	33.5	28.3	23.6

7	0.1	3.2	8.9	8.9	23.7	23.9	47.3	53.9	59.9	64.9	72.5	77.6	81.6	85.1	87.7
	99.9	96.8	91.1	91.1	76.3	76.1	52.7	46.1	40.1	35.1	27.5	22.4	18.4	14.9	12.3

8	0.0	2.0	5.7	5.6	14.4	14.2	31.1	31.4	37.6	42.0	49.0	59.9	66.6	72.0	76.3
	100.0	98.0	94.3	94.4	85.6	85.8	68.9	68.6	62.4	58.0	51.0	40.1	33.4	28.0	23.7

9	0.0	1.0	3.3	3.3	8.6	8.7	19.5	19.6	19.6	23.3	27.8	38.3	48.6	59.2	65.0
	100.0	99.0	96.7	96.7	91.4	91.3	80.5	80.4	80.4	76.7	72.2	61.7	51.4	40.8	35.0

10	0.0	0.6	2.1	2.1	2.0	2.0	5.3	5.3	10.9	23.2	27.8	38.0	48.3	59.1	64.8
	100.0	99.4	97.9	97.9	98.0	98.0	94.7	94.7	89.1	76.8	72.2	62.0	51.7	40.9	35.2

11	0.0	0.3	1.2	1.2	1.2	1.2	3.4	3.3	6.7	13.9	14.0	21.5	30.5	42.6	51.5
	100.0	99.7	98.8	98.8	98.8	98.8	96.6	96.7	93.3	86.1	86.0	78.5	69.5	57.4	48.5

12	0.0	0.2	0.7	0.7	1.9	2.0	4.1	4.3	4.2	10.8	10.7	10.8	16.7	26.5	36.2
	100.0	99.8	99.3	99.3	98.1	98.0	95.9	95.7	95.8	89.2	89.3	89.2	83.3	73.5	63.8

13	0.0	0.1	0.4	0.4	0.4	0.4	1.2	1.2	2.4	7.1	7.0	7.0	16.7	26.8	36.2
	100.0	99.9	99.6	99.6	99.6	99.6	98.8	98.8	97.6	92.9	93.0	93.0	83.3	73.2	63.8

14	0.0	0.0	0.3	0.2	0.3	0.3	0.7	0.7	1.5	4.2	4.2	4.2	13.3	13.3	20.8
	100.0	100.0	99.7	99.8	99.7	99.7	99.3	99.3	98.5	95.8	95.8	95.8	86.7	86.7	79.2

15	0.0	0.0	0.1	0.2	0.1	0.1	0.4	0.4	0.9	2.6	2.5	2.6	8.5	8.4	8.3
	100.0	100.0	99.9	99.8	99.9	99.9	99.6	99.6	99.1	97.4	97.5	97.4	91.5	91.6	91.7

