	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.6	1.6	2.7	3.7	4.7	5.7	6.7	7.7	8.7	9.7	10.7	11.7	12.7	13.7	14.7
	0.4	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

2	0.2	1.1	1.9	2.9	3.9	4.9	5.9	6.8	7.8	8.8	9.9	10.8	11.8	12.8	13.8
	1.3	0.6	0.3	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

3	0.1	0.6	1.0	1.7	2.5	3.4	4.3	5.3	6.2	7.2	8.2	9.2	10.2	11.2	12.2
	2.4	1.6	1.2	0.8	0.5	0.4	0.2	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0

4	0.0	0.3	0.8	0.8	1.3	1.9	2.7	3.4	4.2	5.1	6.0	6.9	7.9	8.9	9.8
	3.5	2.5	1.9	1.9	1.5	1.1	0.8	0.7	0.5	0.3	0.2	0.2	0.1	0.1	0.1

5	0.0	0.2	0.5	0.5	1.3	2.0	2.7	3.4	4.2	5.1	6.0	6.9	7.9	8.8	9.8
	4.5	3.5	2.8	2.8	1.5	1.1	0.8	0.7	0.5	0.3	0.2	0.2	0.1	0.1	0.1

6	0.0	0.1	0.3	0.3	0.9	0.9	1.4	1.8	2.4	3.0	3.8	4.5	5.3	6.2	7.1
	5.5	4.5	3.8	3.8	2.3	2.3	1.7	1.5	1.3	1.1	0.9	0.7	0.5	0.4	0.4

7	0.0	0.1	0.2	0.2	0.6	0.5	1.4	1.9	2.4	3.0	3.8	4.5	5.3	6.2	7.1
	6.5	5.5	4.7	4.8	3.1	3.1	1.7	1.5	1.3	1.1	0.9	0.7	0.5	0.4	0.4

8	0.0	0.0	0.1	0.1	0.3	0.3	0.8	0.8	1.1	1.5	1.9	2.6	3.2	4.0	4.7
	7.5	6.5	5.7	5.7	4.1	4.1	2.6	2.6	2.3	2.2	1.9	1.3	1.0	0.9	0.8

9	0.0	0.0	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.3	0.5	0.9	1.4	1.9
	8.5	7.5	6.7	6.7	6.7	6.7	5.1	5.1	5.1	4.6	4.3	3.8	3.1	2.2	1.7

10	0.0	0.0	0.0	0.0	0.1	0.1	0.2	0.2	0.2	0.6	0.8	1.2	1.8	2.4	3.0
	9.5	8.5	7.7	7.7	6.1	6.1	4.6	4.6	4.6	3.3	3.1	2.5	1.8	1.3	1.1

11	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.3	0.3	0.5	0.9	1.4	1.9
	10.5	9.4	8.7	8.7	7.1	7.1	5.6	5.6	5.6	4.3	4.3	3.8	3.1	2.2	1.7

12	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.2	0.2	0.2	0.4	0.8	1.2
	11.5	10.5	9.7	9.7	8.1	8.1	6.6	6.6	6.6	5.1	5.1	5.2	4.6	3.7	2.7

13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.4	0.8	1.2
	12.5	11.5	10.7	10.7	9.0	9.1	7.6	7.6	7.6	6.1	6.1	6.1	4.6	3.7	2.7

14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.3	0.3	0.6
	13.5	12.4	11.7	11.7	10.1	10.1	8.6	8.6	8.6	7.1	7.1	7.1	5.5	5.5	4.5

15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.2
	14.5	13.5	12.7	12.7	12.7	12.7	11.1	11.1	9.5	8.1	8.1	8.1	6.4	6.4	6.4

